person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id,updated_accessed_at
Luana Pușcașu,luanapușcașu,luanapușcașu@kappa.ro,7110106046606,2014-04-09,"Soseaua Gheorghiu Nr. 143 Bl. 81  Sc. 82 Ap. 464, Botosani, 963981",0267 860 547,51:09:a4:0e:93:3b,53.168.102.135,RO72EUNK2909467087884049,2024-05-22 01:14:52,11473,704,344,710726,06113cc6-5142-4877-88c0-91fbc5e36a69,2025-05-08 10:14:48
Codruț Diaconescu,codruțdiaconescu,codruțdiaconescu@email.ro,3041112103442,1969-11-04,"Bulevardul Voinea, Braila, 866715",0743 315 539,3c:5c:0f:39:4b:3e,111.25.236.81,RO16KYCV8551616664017142,2024-08-03 13:53:52,35674,266,54,1916087,35bf4bfd-b81f-4aeb-8f30-4d0dfa30af3b,2025-05-08 10:14:48
Monalisa Niță,monalisaniță,monalisaniță@141.ro,5140129454861,1967-04-21,"Intrarea Tabacu, Seini, 190788",0266 892 444,5a:5f:0a:cc:70:68,10.59.125.218,RO43XMWL9030647767714889,2024-09-11 17:48:51,21400,305,35,1268482,55baee3d-ceee-496a-ad3d-b66b283b0741,2025-05-08 10:14:48
Nicu Tomescu,nicutomescu,nicutomescu@post.ro,3250819123521,1980-12-28,"Soseaua Zamfira Nistor Nr. 23 Bl. 87  Sc. 55 Ap. 739, Cristuru Secuiesc, 135047",0252 467 884,44:0a:7e:c6:6d:9d,58.119.160.82,RO43YHGH7476892081333179,2024-10-22 20:58:14,35354,450,590,163095,de340c95-27cc-4ecc-b6d4-edea910dbac1,2025-05-08 10:14:48
Achim Georgescu,achimgeorgescu,achimgeorgescu@acasa.ro,4790813094511,1977-11-04,"Intrarea Manole Nr. 75, Nadlac, 633816",0747 773 185,62:14:cc:62:26:6e,4.63.179.180,RO03UFWV2696365259221185,2025-04-02 00:42:31,27066,242,741,37064,c9bcd177-6ff8-4ab9-91cc-b4678a4321da,2025-05-08 10:14:48
Diana Dumitrescu,dianadumitrescu,dianadumitrescu@141.ro,3750102312005,1958-04-01,"Bulevardul Dochioiu, Brad, 379993",0785 464 551,d8:a4:db:ec:bb:1f,63.192.120.2,RO70NKAI5320162087960961,2025-01-03 02:03:37,33769,775,5,1426146,b9df5d3c-45fd-41ac-b76b-61c6d8d5f362,2025-05-08 10:14:48
Marioara Stoica,marioarastoica,marioarastoica@acasa.ro,6120618178531,1937-06-08,"Drumul Albu, Poiana Mare, 969295",0754 370 104,39:ff:22:b3:3d:aa,87.251.153.145,RO31WJMX9371173610681940,2024-06-19 19:26:15,15764,691,83,1994291,2b2fd3a7-7481-4bc8-b0cf-ee3cf0a51b53,2025-05-08 10:14:48
Roza Ene,rozaene,rozaene@kappa.ro,8021210295973,1928-09-25,"Soseaua Brândușa Stănescu, Rovinari, 207663",0737 082 818,b8:5b:77:07:8c:dd,119.59.182.196,RO29AWPX9330973892859521,2024-10-28 04:23:09,407,946,361,922882,e100a977-5381-44b5-b653-73b49af907dd,2025-05-08 10:14:48
Nechifor Suciu,nechiforsuciu,nechiforsuciu@kappa.ro,2060223011463,1970-05-21,"Intrarea Diaconu, Floresti, 372608",0233 433 584,d3:76:74:98:d6:26,156.36.208.211,RO49PACD4109948652503288,2024-07-01 07:59:05,14933,598,604,352204,939eda20-8bd5-43f9-aaea-43b62c9c45f3,2025-05-08 10:14:48
Monica Preda,monicapreda,monicapreda@post.ro,7960318338673,1944-08-15,"Strada Dobre Nr. 797, Piatra-Neamt, 268139",0758 640 441,10:03:5b:3f:ba:84,61.244.181.13,RO09TPYM5099001207234759,2025-01-17 12:59:44,7503,818,539,565481,bab62df3-e137-4d9e-a72b-62e36a3c1bcb,2025-05-08 10:14:48
Augustin Dumitrescu,augustindumitrescu,augustindumitrescu@acasa.ro,5760119041286,2002-09-27,"Aleea Ene Nr. 284, Pechea, 599543",0752 151 430,70:73:22:65:62:30,209.82.207.35,RO85TDVT5585415455823505,2024-06-24 14:25:01,26553,423,346,1443817,710a7261-e0e6-4718-afeb-22759b0bb0fb,2025-05-08 10:14:48
